talemaade_udtryk,predicted_label,true_label,predicted_definition,true_definition,Discrepancy
ikke være mange sure sild værd,0,1,have en værdi der svarer til et lille antal sild,være udmattet eller nedtrykt,DISCREPANCY
mester for noget,0,3,"person der (uden at ville det) er skyld i en negativ udvikling, hændelse eller lignende","person der har skabt, designet eller udtænkt et kunstnerisk værk eller noget andet der gør indtryk",DISCREPANCY
det fagreste træ i skoven,2,1,"den person der udpeges som den smukkeste blandt en gruppe mennesker, fx i en konkurrence",det som er vigtigst og betyder mest,DISCREPANCY
have blod på hænderne,3,2,"have (andres) blod på sine hænder, typisk pga. en ulykke eller en forbrydelse",have blodige eller grusomme handlinger på samvittigheden,DISCREPANCY
der er synk i nogen,1,2,nogen er meget energisk eller handlekraftig,"nogen kan drikke meget, især alkohol",DISCREPANCY
køre med klatten,0,1,køre på en hensynsløs og uansvarlig måde,være suveræn til noget; brillere,DISCREPANCY
i den kolde sne,3,2,i en (større) bunke sne,i en tilstand af udelukkelse og forladthed,DISCREPANCY
en streg i luften,0,1,en kondensstribe på himlen skabt af en flyvemaskine,en meget tynd person,DISCREPANCY
vride bananen,1,2,stimulere en penis med hånden,tisse,DISCREPANCY
op ad bakke,2,1,i retning opad langs en stigning i landskabet,forbundet med modgang eller vanskeligheder der skal overvindes for at opnå et resultat,DISCREPANCY
der må være en blonde,3,2,der må være en anden løsning på problemet,der er grænser for hvad man kan tillade sig,DISCREPANCY
strø sand på,3,1,"kaste sand ud over et areal, fx et flisebelagt område",bringe en (ubehagelig) sag til afslutning eller ud af verden; undlade at gøre mere ved det,DISCREPANCY
ål i strømperne,2,0,vittigheder; underholdende påfund,folder i strømper der er gledet ned ad benet,DISCREPANCY
have knive i ærmerne,3,2,medbringe noget overraskende eller overrumplende,vente på en lejlighed til at foretage et (uventet) angreb,DISCREPANCY
is i maven,0,3,isterninger i mavesækken,"ro, tålmodighed og nøgternt overblik i en presset situation, fx når der skal træffes en beslutning",DISCREPANCY
ikke lade solen gå ned over sin vrede,0,3,ikke gå vred i seng,glemme eller tilgive noget man er blevet vred over,DISCREPANCY
uden for lands lov og ret,0,1,uden for et lands grænser og derfor ikke underlagt dets love,i et øde område fjernt fra større byer,DISCREPANCY
"ét spøg, et andet alvor",3,0,en vittighed og noget alvorligt,man bør holde det morsomme og det alvorlige ved en sag adskilt,DISCREPANCY
få lange arme,2,3,udvide sit netværk eller sine muligheder for at tjene penge,blive træt i armene af at bære på noget tungt,DISCREPANCY
ved kasse ét,3,0,ved kasse nr. 1 (i et supermarked eller lignende),"bruges for at angive at en reaktion kommer omgående, konsekvent og ubønhørligt",DISCREPANCY
tabe på gulvet,0,1,tabe en genstand på gulvet,ødelægge eller forspilde nogens chancer eller muligheder for noget,DISCREPANCY
guds ord fra landet,3,2,"alt er som det skal være, trods trusler og farer",uerfaren og naiv ung pige,DISCREPANCY
lyve så stærkt som en hest kan rende,2,3,fortælle løgne i samme tempo som det hurtigste en hest kan løbe,lyve groft; fortælle mange løgne,DISCREPANCY
puste i nakken,2,0,"stå så tæt på en anden person at den luft man udånder, rammer vedkommende i nakken",overvåge; kontrollere,DISCREPANCY
gøre kort proces,3,2,handle hurtigt og effektivt,"handle hurtigt og uden omsvøb, ofte sådan at det går ud over andre",DISCREPANCY
stiv time,2,1,tidsrum hvor man er påvirket af rusmidler (og derfor ikke i stand til at handle forsvarligt),time betragtet som et langt (og krævende eller ubehageligt) tidsrum,DISCREPANCY
"livet er kort, kunsten er lang",3,2,kunst varer længere tid end en enkelt persons liv,man kan blive udødeliggjort gennem kunsten,DISCREPANCY
hellere lille og vågen end stor og doven,3,1,det er at foretrække at være lille og vågen fremfor stor og doven,det går udmærket an at være lille af vækst når man blot er kvik og energisk,DISCREPANCY
føle sig hjemme,2,1,have samme fornemmelse som når man er hjemme,være tilfreds med en beskæftigelse fordi den passer godt sammen med ens tanker og ønsker,DISCREPANCY
gå op i sømmene,1,0,gå unødigt meget op i (ubetydelige) detaljer,bryde psykisk sammen; gå amok,DISCREPANCY
hellere ville brække en arm på langs end ..,0,3,bruges for at udtrykke modvilje og ubehag over nogens handlinger,bruges som udtryk for at nogen stiller sig totalt afvisende,DISCREPANCY
smage som at række tungen ud ad vinduet,0,3,have en kølig og frisk smag; være forfriskende,ikke smage af noget; være kedelig eller uinteressant i smagen,DISCREPANCY
som en åben bog,3,1,lige så nem at gå til som en bog der allerede er åben,uden besvær,DISCREPANCY
give faklen videre,0,2,oplære nogen så de fremover kan udføre en bestemt opgave på egen hånd,"overlade et hverv, fx en formands- eller ministerpost",DISCREPANCY
bide skeer med,0,3,man kan tage det roligt; man behøver ikke at skynde sig så meget,have at gøre med; handle eller arbejde sammen med; konkurrere med,DISCREPANCY
have ild i enden,2,1,"være i en overdrevent begejstret eller opstemt, evt. overspændt sindstilstand",fare omkring; være meget foretagsom,DISCREPANCY
have en aktie i,1,3,"være involveret i en sag eller et foretagende, ofte uønsket eller uforskyldt",være aktiv deltager i; have indflydelse på,DISCREPANCY
sejle på varmen,2,0,udnytte andres godgørenhed til egen vinding; drage fordel af noget på bekostning af andre,"sejle i de varme lande, i troperne",DISCREPANCY
en køn plante,1,0,"person som er smuk, omsorgsfuld, god eller lignende",en uopdragen eller på anden måde ubehagelig person,DISCREPANCY
til at komme i papirmøllen,1,3,"klar til at blive makuleret, dvs. ødelagt",ubrugelig; kassabel,DISCREPANCY
tage noget i stiv arm,0,3,"kræve at nogen bliver straffet, afskediget eller lignende (pga. en forseelse)",bære modgang med styrke og sindsro,DISCREPANCY
den sorte klap går ned,1,2,bruges for at udtrykke at en person pludselig mister besindelsen; voldsomt raseri,bruges for at udtrykke at en person pludselig ikke kan huske noget bestemt,DISCREPANCY
