talemaade_udtryk,predicted_label,true_label,predicted_definition,true_definition,Discrepancy
lang næse,2,1,næse som er mere fremtrædende end gennemsnittet,skuffelse; følelse af at være snydt,DISCREPANCY
hurtig hjælp er dobbelt hjælp,2,0,hurtig hjælp er dobbelt så nyttig som hjælp der ydes langsomt,"jo tidligere en hjælp ydes, desto mere effektiv er den",DISCREPANCY
måtte sige farvel til noget,1,0,være nødsaget til at sige farvel til noget,"erkende at have lidt et (økonomisk) tab, mistet en mulighed eller lignende",DISCREPANCY
ikke have opfundet den dybe tallerken,2,0,ikke være opfinderen bag en tallerken med fordybning i midten,ikke være særlig (bogligt) begavet,DISCREPANCY
det er der ingen ben i,1,3,det er ikke økonomisk forsvarligt; det er ikke gangbart i virkeligheden,det er nemt at udføre eller forstå,DISCREPANCY
ramme muren,2,0,"støde ind i en mur, væg, ellerlign.",blive drænet for kræfter med en mærkbar nedgang i fysisk præstation til følge,DISCREPANCY
male byen rød,2,0,male (dele af) væggene i en by røde,drikke og more sig uden for sit eget hjem,DISCREPANCY
stryge med hårene,2,3,"ae nogen, fx et barn, på hovedet i den retning håret vokser",prøve at behage; optræde føjeligt og eftergivende,DISCREPANCY
svæve over vandene,2,1,bevæge sig ubemærket rundt,præge noget; være mærkbar,DISCREPANCY
under én hat,1,3,bruges som udtryk for at flere personer har samme holdning eller overbevisning,"på samme sted, under samme organisation eller under samme institution",DISCREPANCY
uden mad og drikke duer helten ikke,3,0,man kan ikke udføre heltegerninger på tom mave,man må sørge for at få noget at spise og drikke hvis man vil klare sig,DISCREPANCY
ikke være mange sure sild værd,3,1,bruges for at udtrykke at indsatsen ikke er udbyttet værd,være udmattet eller nedtrykt,DISCREPANCY
de bonede gulve,1,2,gulve som er behandlet med bonevoks eller lignende,"de finere kredse, etablissementet; inderkredsen (i en politisk magtstruktur)",DISCREPANCY
hul på bylden,2,3,et hul på en byld,gang i noget der har voldt besvær eller været et problem,DISCREPANCY
give en god dag i noget,3,0,bruge tid på at more sig; afsætte tid til fornøjelser,være ligeglad med noget; ikke bekymre sig om noget,DISCREPANCY
mester for noget,2,3,dygtig udøver af et håndværk,"person der har skabt, designet eller udtænkt et kunstnerisk værk eller noget andet der gør indtryk",DISCREPANCY
langt hen ad vejen,0,3,som har et langt forløb langs en vej,for størstedelens vedkommende; næsten helt,DISCREPANCY
grine hele vejen til banken,3,0,grine mens man bevæger sin hen til en bank,glæde sig over en økonomisk succes,DISCREPANCY
