talemaade_udtryk,predicted_label,true_label,predicted_definition,true_definition,Discrepancy
måtte sige farvel til noget,1,0,være nødsaget til at sige farvel til noget,"erkende at have lidt et (økonomisk) tab, mistet en mulighed eller lignende",DISCREPANCY
det er der ingen ben i,1,3,det er ikke økonomisk forsvarligt; det er ikke gangbart i virkeligheden,det er nemt at udføre eller forstå,DISCREPANCY
ramme muren,2,0,"støde ind i en mur, væg, ellerlign.",blive drænet for kræfter med en mærkbar nedgang i fysisk præstation til følge,DISCREPANCY
hælde vand ud af ørerne,3,2,undlade at lytte eller kigge selvom en person påkalder sig opmærksomhed; ignorere en person,"sige noget uden særlig meget indhold, fx for at vinde tid eller undskylde noget",DISCREPANCY
vride halsen om på nogen,1,3,tvinge en beslutning igennem på trods af andres indsigelser,få nogen til at makke ret ved at presse eller true,DISCREPANCY
stryge med hårene,2,3,"ae nogen, fx et barn, på hovedet i den retning håret vokser",prøve at behage; optræde føjeligt og eftergivende,DISCREPANCY
svæve over vandene,0,1,diskret eller ubemærket overvære noget,præge noget; være mærkbar,DISCREPANCY
under én hat,1,3,bruges som udtryk for at flere personer har samme holdning eller overbevisning,"på samme sted, under samme organisation eller under samme institution",DISCREPANCY
uden mad og drikke duer helten ikke,3,0,man kan ikke udføre heltegerninger på tom mave,man må sørge for at få noget at spise og drikke hvis man vil klare sig,DISCREPANCY
ikke være mange sure sild værd,3,1,bruges for at udtrykke at indsatsen ikke er udbyttet værd,være udmattet eller nedtrykt,DISCREPANCY
få beskidte hænder,3,0,foretage sig noget der forårsager at ens hænder bliver snavsede,udføre manuelt arbejde; arbejde hårdt eller flittigt,DISCREPANCY
give en god dag i noget,3,0,bruge tid på at more sig; afsætte tid til fornøjelser,være ligeglad med noget; ikke bekymre sig om noget,DISCREPANCY
mester for noget,2,3,dygtig udøver af et håndværk,"person der har skabt, designet eller udtænkt et kunstnerisk værk eller noget andet der gør indtryk",DISCREPANCY
give med den ene hånd og tage med den anden,1,3,række nogen noget med den ene hånd og derefter tage det igen med den anden,"yde noget til nogen, men derefter fratage vedkommende dét eller noget andet",DISCREPANCY
andre boller på suppen,2,3,hjælpe nogen der befinder sig i en vanskelig situation,noget der er nyt og helt forskelligt fra det man kender til i den pågældende sammenhæng,DISCREPANCY
det fagreste træ i skoven,2,1,"den person der udpeges som den smukkeste blandt en gruppe mennesker, fx i en konkurrence",det som er vigtigst og betyder mest,DISCREPANCY
lakrids mellem tæerne,0,3,ikke falde i en persons smag,snavs mellem tæerne; snavsede fødder,DISCREPANCY
få skovlen under,0,1,komme i gang med et foretagende,besejre eller få overtaget over,DISCREPANCY
arbejde så blodet springer fra neglene,1,2,arbejde så hårdt at fingrene bløder,(arbejde) hårdt og intensivt,DISCREPANCY
