talemaade_udtryk,predicted_label,true_label,predicted_definition,true_definition,Discrepancy
lang næse,0,1,nedladende eller på anden måde negativ kritik,skuffelse; følelse af at være snydt,DISCREPANCY
det er der ingen ben i,1,3,det er ikke økonomisk forsvarligt; det er ikke gangbart i virkeligheden,det er nemt at udføre eller forstå,DISCREPANCY
ikke have mange brikker at flytte rundt med,0,2,have en stram økonomi,ikke være særlig begavet,DISCREPANCY
stryge med hårene,0,3,være modvillig eller genstridig; (prøve at) forhindre noget,prøve at behage; optræde føjeligt og eftergivende,DISCREPANCY
svæve over vandene,0,1,diskret eller ubemærket overvære noget,præge noget; være mærkbar,DISCREPANCY
uden mad og drikke duer helten ikke,3,0,man kan ikke udføre heltegerninger på tom mave,man må sørge for at få noget at spise og drikke hvis man vil klare sig,DISCREPANCY
mester for noget,0,3,"person der (uden at ville det) er skyld i en negativ udvikling, hændelse eller lignende","person der har skabt, designet eller udtænkt et kunstnerisk værk eller noget andet der gør indtryk",DISCREPANCY
holde på hat og briller,0,3,være på sporet af en sags rette sammenhæng; være inde på noget af det rigtige,passe på fordi noget (voldsomt) begynder eller finder sted,DISCREPANCY
andre boller på suppen,1,3,bruges for at udtrykke at noget ikke smager en,noget der er nyt og helt forskelligt fra det man kender til i den pågældende sammenhæng,DISCREPANCY
det fagreste træ i skoven,2,1,"den person der udpeges som den smukkeste blandt en gruppe mennesker, fx i en konkurrence",det som er vigtigst og betyder mest,DISCREPANCY
tegn og underlige gerninger,3,1,mystiske tegn og handlinger som man ikke forstår,uforståelige eller forunderlige handlinger eller fænomener,DISCREPANCY
få skovlen under,0,1,komme i gang med et foretagende,besejre eller få overtaget over,DISCREPANCY
hele dynen,0,3,fare omkring; være meget foretagsom,alt det som er relevant i en bestemt sammenhæng,DISCREPANCY
puste til gløderne,0,2,puste til en ild der er ved at dø ud,få en strid til at udvikle sig (igen),DISCREPANCY
skulle have skolepengene tilbage,2,1,være berettiget til erstatning af et undervisningsgebyr,være dum eller uvidende om et bestemt forhold,DISCREPANCY
gå i brædderne,3,0,besvime som følge af overdrevent indtag af alkohol,blive træt (og falde i søvn); miste energi,DISCREPANCY
det ene ord tager det andet,2,1,ord efterfølger ord i en talestrøm,bruges om en situation hvor påstande om nogen eller noget tiltager i grovhed,DISCREPANCY
for fulde gardiner,1,3,helt trukket for,for fuld kraft; uden hæmninger eller begrænsninger,DISCREPANCY
køre med klatten,0,1,køre på en hensynsløs og uansvarlig måde,være suveræn til noget; brillere,DISCREPANCY
behandle nogen som et råddent æg,2,1,ignorere nogen; behandle nogen strengt og uretfærdigt,omgås en person på en meget diplomatisk og forsigtig måde fordi vedkommende er meget nærtagende og besværlig,DISCREPANCY
tampen brænder,2,0,der er ild i tovet,man er tæt ved at nå til en erkendelse,DISCREPANCY
en streg i luften,2,1,"en uventet og uønsket hændelse, handling eller lignende",en meget tynd person,DISCREPANCY
tage pungen frem,0,2,fremdrage sin pengepung for at betale for bestemte varer eller en bestemt ydelse,(modvilligt) betale et stort beløb,DISCREPANCY
vride bananen,1,2,stimulere en penis med hånden,tisse,DISCREPANCY
ikke lægge fingrene imellem,1,3,ikke blande sig i andres konflikt,"ikke være skånsom eller tilbageholdende, men direkte i ord eller handling",DISCREPANCY
Lars Tyndskids mark,3,0,påtage sig en ubehagelig og evt. skæbnesvanger opgave sådan at en anden slipper for den,sted langt ude på landet,DISCREPANCY
der må være en blonde,3,2,der må være en anden løsning på problemet,der er grænser for hvad man kan tillade sig,DISCREPANCY
nogens eget kød og blod,3,0,nogens egen krop,nogens (egen) blodsbeslægtede familie,DISCREPANCY
dele sol og vind lige,0,1,sørge for at rose nogen før og efter man kritiserer dem,være retfærdig; tilgodese alle parter i en sag,DISCREPANCY
få en spand koldt vand i hovedet,1,3,pludselig komme ud af en rus,uventet blive afvist; komme ud for en stor skuffelse,DISCREPANCY
nye koste fejer bedst,2,0,en ny kost fejer bedre end en gammel og slidt kost,nyt er altid bedre end gammelt blot fordi det er nyt,DISCREPANCY
