talemaade_udtryk,predicted_label,true_label,predicted_definition,true_definition,Discrepancy
tale med store bogstaver,2,3,tale nedskrevet med store bogstaver,udtale sin kritiske mening højt og bestemt; skælde ud,DISCREPANCY
puste til ilden,0,2,"puste til gløderne i et bål, en pejs eller lignende for at få dem til at flamme op","gøre en konflikt eller spændt situation værre, fx ved at komme med provokerende bemærkninger",DISCREPANCY
måtte sige farvel til noget,1,0,være nødsaget til at sige farvel til noget,"erkende at have lidt et (økonomisk) tab, mistet en mulighed eller lignende",DISCREPANCY
ikke have salt til et æg,0,1,ikke kunne lave velsmagende mad; være en dårlig kok,være fattig,DISCREPANCY
det er der ingen ben i,1,3,det er ikke økonomisk forsvarligt; det er ikke gangbart i virkeligheden,det er nemt at udføre eller forstå,DISCREPANCY
ramme muren,2,0,"støde ind i en mur, væg, ellerlign.",blive drænet for kræfter med en mærkbar nedgang i fysisk præstation til følge,DISCREPANCY
ikke have mange brikker at flytte rundt med,0,2,have en stram økonomi,ikke være særlig begavet,DISCREPANCY
vride halsen om på nogen,1,3,tvinge en beslutning igennem på trods af andres indsigelser,få nogen til at makke ret ved at presse eller true,DISCREPANCY
male byen rød,2,0,male (dele af) væggene i en by røde,drikke og more sig uden for sit eget hjem,DISCREPANCY
stryge med hårene,2,3,"ae nogen, fx et barn, på hovedet i den retning håret vokser",prøve at behage; optræde føjeligt og eftergivende,DISCREPANCY
løbe om hjørner med,2,1,løbe på en rute med adskillige skarpe sving sammen med,narre; snyde,DISCREPANCY
under én hat,1,3,bruges som udtryk for at flere personer har samme holdning eller overbevisning,"på samme sted, under samme organisation eller under samme institution",DISCREPANCY
ikke være mange sure sild værd,3,1,bruges for at udtrykke at indsatsen ikke er udbyttet værd,være udmattet eller nedtrykt,DISCREPANCY
de bonede gulve,1,2,gulve som er behandlet med bonevoks eller lignende,"de finere kredse, etablissementet; inderkredsen (i en politisk magtstruktur)",DISCREPANCY
få beskidte hænder,3,0,foretage sig noget der forårsager at ens hænder bliver snavsede,udføre manuelt arbejde; arbejde hårdt eller flittigt,DISCREPANCY
give en god dag i noget,2,0,afsætte en dag til noget,være ligeglad med noget; ikke bekymre sig om noget,DISCREPANCY
være tynd i papirerne,0,2,være uden interessant og vigtigt indhold - om tekst,"være usikker, uvidende, dårligt forberedt eller lignende",DISCREPANCY
mester for noget,0,3,"person der (uden at ville det) er skyld i en negativ udvikling, hændelse eller lignende","person der har skabt, designet eller udtænkt et kunstnerisk værk eller noget andet der gør indtryk",DISCREPANCY
langt hen ad vejen,0,3,som har et langt forløb langs en vej,for størstedelens vedkommende; næsten helt,DISCREPANCY
holde på hat og briller,1,3,holde fast på sin hat og sine briller,passe på fordi noget (voldsomt) begynder eller finder sted,DISCREPANCY
ligne hinanden som to dråber vand,0,3,være ens på overfladen men ikke nødvendigvis i det indre,ligne hinanden fuldstændig,DISCREPANCY
lavthængende frugter,3,2,"frugter der befinder sig på træets nederste grene, og som derfor er nemme at plukke fra jorden","mål eller resultater der er lette og hurtige at nå, og som ikke kræver den store indsats",DISCREPANCY
der gror mos på nogen el. noget,1,0,et lag af mos gror frem på nogen eller noget,nogen/noget ældes (og glemmes) med tiden,DISCREPANCY
lakrids mellem tæerne,1,3,snavs på steder hvor der sjældent bliver gjort rent,snavs mellem tæerne; snavsede fødder,DISCREPANCY
få skovlen under,0,1,komme i gang med et foretagende,besejre eller få overtaget over,DISCREPANCY
en dans på roser,2,0,"en vanskelig aktivitet, opgave eller lignende","en let og sorgløs tilværelse, aktivitet, opgave eller lignende",DISCREPANCY
ikke være helt fin i kanten,3,1,have en eller flere fejl eller mangler der bryder en ellers perfekt kant,ikke være (helt) acceptabel moralsk set; ikke være (helt) til at stole på,DISCREPANCY
smage af fugl,1,0,minde om smagen af fugl,"ikke være helt identisk med noget bestemt (attraktivt), men dog ligne det lidt; være bedre end ingenting",DISCREPANCY
de forhåndenværende søms princip,0,1,en god begyndelse på noget forøger muligheden for en vellykket fortsættelse og afslutning,fremgangsmåde hvor man nøjes med de begrænsede midler der umiddelbart er til rådighed,DISCREPANCY
skulle have skolepengene tilbage,2,1,være berettiget til erstatning af et undervisningsgebyr,være dum eller uvidende om et bestemt forhold,DISCREPANCY
gå hjem og vug,3,1,gå hjem i seng,"forsvind; gå hjem, for der er ikke brug for dig",DISCREPANCY
krydse nogens vej,1,3,overskride nogens grænser,mødes med nogen undervejs,DISCREPANCY
gå i brædderne,2,0,gå igennem et plankegulv,blive træt (og falde i søvn); miste energi,DISCREPANCY
det ene ord tager det andet,2,1,ord efterfølger ord i en talestrøm,bruges om en situation hvor påstande om nogen eller noget tiltager i grovhed,DISCREPANCY
nissen flytter med,1,0,"når man flytter, bliver en (jule)nisse taget med",selvskabte problemer forfølger én hvis man blot flygter fra dem i stedet for at finde deres egentlige årsag,DISCREPANCY
være ved sine sansers fulde brug,0,2,have kontrol med og udbytte af alle fem sanser,være i stand til at tænke klart; være tilregnelig,DISCREPANCY
have spidse albuer,0,2,person der har det meget dårligt fysisk og psykisk,hævde sig på andres bekostning,DISCREPANCY
for fulde gardiner,1,3,helt trukket for,for fuld kraft; uden hæmninger eller begrænsninger,DISCREPANCY
med arme og ben,2,3,hvor man gør brug af både sine arme og ben,af al magt; uhæmmet,DISCREPANCY
have alle trumfer på hånden,2,3,have de bedst mulige kort på hånden i et kortspil,have meget gode chancer; være i en meget fordelagtig situation,DISCREPANCY
med lodder og trisser,0,3,holdt på plads vha. lodder og trisser -- om fortøjning eller andet tovværk,"med (lidt held og) hvad man kan finde på af hjælpemidler; på bedst mulige, men ikke altid helt vellykkede måde; med kniberi",DISCREPANCY
man kan ikke klippe håret af en skaldet,0,2,det er umuligt at klippe en skaldet person,"man kan ikke tage noget, fx penge, fra én der ingenting har",DISCREPANCY
