talemaade_udtryk,predicted_label,true_label,predicted_definition,true_definition,Discrepancy
ikke være mange sure sild værd,3,1,bruges for at udtrykke at indsatsen ikke er udbyttet værd,være udmattet eller nedtrykt,DISCREPANCY
få beskidte hænder,2,0,være opfyldt af en følelse af skam,udføre manuelt arbejde; arbejde hårdt eller flittigt,DISCREPANCY
mester for noget,0,3,"person der (uden at ville det) er skyld i en negativ udvikling, hændelse eller lignende","person der har skabt, designet eller udtænkt et kunstnerisk værk eller noget andet der gør indtryk",DISCREPANCY
det fagreste træ i skoven,2,1,"den person der udpeges som den smukkeste blandt en gruppe mennesker, fx i en konkurrence",det som er vigtigst og betyder mest,DISCREPANCY
have blod på hænderne,3,2,"have (andres) blod på sine hænder, typisk pga. en ulykke eller en forbrydelse",have blodige eller grusomme handlinger på samvittigheden,DISCREPANCY
der er synk i nogen,1,2,nogen er meget energisk eller handlekraftig,"nogen kan drikke meget, især alkohol",DISCREPANCY
det ene ord tager det andet,2,1,ord efterfølger ord i en talestrøm,bruges om en situation hvor påstande om nogen eller noget tiltager i grovhed,DISCREPANCY
en streg i luften,0,1,en kondensstribe på himlen skabt af en flyvemaskine,en meget tynd person,DISCREPANCY
rive nogen noget i næsen,1,3,under falske forudsætninger få nogen til at tro på at noget forholder sig på en bestemt måde,lade nogen høre for noget; kritisere nogen for noget,DISCREPANCY
vride bananen,1,2,stimulere en penis med hånden,tisse,DISCREPANCY
gå op og ned som kong Volmers røv,1,2,der er både gode og dårlige dage,"bruges om noget der er ujævnt, eller om et stykke arbejde der er dårligt udført",DISCREPANCY
målet helliger midlet,1,3,målet retfærdiggør metoden,et godt formål berettiger brugen af mindre fine midler,DISCREPANCY
have store tanker om,0,1,tænke meget på,"værdsætte, beundre eller have store forventninger til",DISCREPANCY
lyse i kuld og køn,2,0,vække opsigt pga. sine smykker eller fine påklædning,anerkende officielt,DISCREPANCY
ligge med næsen i vejret,0,3,ligge på ryggen,være død og begravet,DISCREPANCY
give bolden op,2,1,opgive at finde en bold man har skudt langt væk,"sætte bolden i spil, ved spillets begyndelse eller efter en scoring",DISCREPANCY
rene ord for pengene,1,3,det bedste af sin art,udtalelse der ikke kan misforstås,DISCREPANCY
"hvad man ikke ved, har man ikke ondt af",0,2,man kan ikke være ked af noget man ikke kender til,det er ofte bedre at leve i uvidenhed end at kende den ubehagelige sandhed,DISCREPANCY
ikke lade solen gå ned over sin vrede,0,3,ikke gå vred i seng,glemme eller tilgive noget man er blevet vred over,DISCREPANCY
stå med håret ned ad nakken,2,3,komme af sted efter lang tids nølen; langt om længe tage sig sammen,stå modløs og skuffet tilbage; være blevet svigtet eller narret,DISCREPANCY
uden for lands lov og ret,2,1,uden de regler der ellers ville gælde,i et øde område fjernt fra større byer,DISCREPANCY
få lange arme,2,3,udvide sit netværk eller sine muligheder for at tjene penge,blive træt i armene af at bære på noget tungt,DISCREPANCY
