talemaade_udtryk,predicted_label,true_label,predicted_definition,true_definition,Discrepancy
lang næse,2,1,næse som er mere fremtrædende end gennemsnittet,skuffelse; følelse af at være snydt,DISCREPANCY
det er der ingen ben i,1,3,det er ikke økonomisk forsvarligt; det er ikke gangbart i virkeligheden,det er nemt at udføre eller forstå,DISCREPANCY
ramme muren,2,0,"støde ind i en mur, væg, ellerlign.",blive drænet for kræfter med en mærkbar nedgang i fysisk præstation til følge,DISCREPANCY
ikke have mange brikker at flytte rundt med,0,2,have en stram økonomi,ikke være særlig begavet,DISCREPANCY
male byen rød,3,0,have menstruation,drikke og more sig uden for sit eget hjem,DISCREPANCY
svæve over vandene,0,1,diskret eller ubemærket overvære noget,præge noget; være mærkbar,DISCREPANCY
løbe om hjørner med,0,1,for fuld kraft; uden hæmninger eller begrænsninger,narre; snyde,DISCREPANCY
under én hat,1,3,bruges som udtryk for at flere personer har samme holdning eller overbevisning,"på samme sted, under samme organisation eller under samme institution",DISCREPANCY
uden mad og drikke duer helten ikke,3,0,man kan ikke udføre heltegerninger på tom mave,man må sørge for at få noget at spise og drikke hvis man vil klare sig,DISCREPANCY
ikke være mange sure sild værd,3,1,bruges for at udtrykke at indsatsen ikke er udbyttet værd,være udmattet eller nedtrykt,DISCREPANCY
mester for noget,2,3,dygtig udøver af et håndværk,"person der har skabt, designet eller udtænkt et kunstnerisk værk eller noget andet der gør indtryk",DISCREPANCY
andre boller på suppen,2,3,hjælpe nogen der befinder sig i en vanskelig situation,noget der er nyt og helt forskelligt fra det man kender til i den pågældende sammenhæng,DISCREPANCY
lakrids mellem tæerne,1,3,snavs på steder hvor der sjældent bliver gjort rent,snavs mellem tæerne; snavsede fødder,DISCREPANCY
ikke være helt fin i kanten,3,1,have en eller flere fejl eller mangler der bryder en ellers perfekt kant,ikke være (helt) acceptabel moralsk set; ikke være (helt) til at stole på,DISCREPANCY
hele dynen,2,3,al den oppakning man slæber med sig,alt det som er relevant i en bestemt sammenhæng,DISCREPANCY
have blod på hænderne,3,2,"have (andres) blod på sine hænder, typisk pga. en ulykke eller en forbrydelse",have blodige eller grusomme handlinger på samvittigheden,DISCREPANCY
puste til gløderne,0,2,puste til en ild der er ved at dø ud,få en strid til at udvikle sig (igen),DISCREPANCY
næsten ikke kunne få armene ned,1,2,være meget beruset,være overordentlig glad pga. stor succes,DISCREPANCY
have spidse albuer,1,2,have ophobet vrede over længere tid,hævde sig på andres bekostning,DISCREPANCY
køre med klatten,0,1,køre på en hensynsløs og uansvarlig måde,være suveræn til noget; brillere,DISCREPANCY
behandle nogen som et råddent æg,3,1,kun nødigt omgås nogen fordi man finder dem frastødende,omgås en person på en meget diplomatisk og forsigtig måde fordi vedkommende er meget nærtagende og besværlig,DISCREPANCY
den åbne dørs politik,1,0,den tilgang at gæster altid er velkomne,internationalt politisk princip om at lade flere stater i et bestemt område have lige vilkår mht. handel og skibsfart,DISCREPANCY
tampen brænder,2,0,der er ild i tovet,man er tæt ved at nå til en erkendelse,DISCREPANCY
en streg i luften,2,1,"en uventet og uønsket hændelse, handling eller lignende",en meget tynd person,DISCREPANCY
bide i græsset,1,0,fremgå klart af nogens ansigtsudtryk,lide nederlag; give op; give efter,DISCREPANCY
"når solen går ned i en sæk, står den op i en bæk",2,1,bruges for at forsikre tilhøreren om at ens formodning i en bestemt sag er rigtig,"når solen går ned bag store, mørke skyer, kan man vente regnvejr den følgende dag",DISCREPANCY
der er ingen smalle steder,1,2,blive ramt af ubehagelige (selvforskyldte) konsekvenser; opleve livets barske realiteter,"der er rigeligt, og der bliver ikke sparet på noget",DISCREPANCY
tabe både næse og mund,1,2,skælde voldsomt ud; blive meget vred,blive meget forbavset eller benovet over noget,DISCREPANCY
tage pungen frem,0,2,fremdrage sin pengepung for at betale for bestemte varer eller en bestemt ydelse,(modvilligt) betale et stort beløb,DISCREPANCY
få enden på komedie,3,1,opleve slutningen af en komedie,få en endefuld; få prygl,DISCREPANCY
vride bananen,1,2,stimulere en penis med hånden,tisse,DISCREPANCY
gå rundt med noget i maven,3,0,have dårlig samvittighed fordi man ikke har påtaget sig en vigtig opgave,have (skjulte) ambitioner eller drømme om at blive noget bestemt,DISCREPANCY
Lars Tyndskids mark,3,0,påtage sig en ubehagelig og evt. skæbnesvanger opgave sådan at en anden slipper for den,sted langt ude på landet,DISCREPANCY
"går den, så går den",1,0,noget er i gang og fortsætter med at være det,"man kan lige så godt prøve at udføre en ofte dristig, mistænkelig eller ufin handling, for hvis det lykkes, er det godt, og lykkes det ikke, er der sikkert ikke tabt noget ved det",DISCREPANCY
der må være en blonde,1,2,her mangler en blonde,der er grænser for hvad man kan tillade sig,DISCREPANCY
stikke piben ind,2,1,have samleje (om mand),blive mere forsigtig og tilbageholdende; (begynde at) holde lav profil,DISCREPANCY
målet helliger midlet,1,3,målet retfærdiggør metoden,et godt formål berettiger brugen af mindre fine midler,DISCREPANCY
