talemaade_udtryk,predicted_label,true_label,predicted_definition,true_definition,Discrepancy
lang næse,0,1,nedladende eller på anden måde negativ kritik,skuffelse; følelse af at være snydt,DISCREPANCY
det er der ingen ben i,1,3,det er ikke økonomisk forsvarligt; det er ikke gangbart i virkeligheden,det er nemt at udføre eller forstå,DISCREPANCY
ramme muren,2,0,"støde ind i en mur, væg, ellerlign.",blive drænet for kræfter med en mærkbar nedgang i fysisk præstation til følge,DISCREPANCY
vride halsen om på nogen,0,3,dræbe ved kvælning,få nogen til at makke ret ved at presse eller true,DISCREPANCY
male byen rød,1,0,"sige noget uden særlig meget indhold, fx for at vinde tid eller undskylde noget",drikke og more sig uden for sit eget hjem,DISCREPANCY
stryge med hårene,0,3,være modvillig eller genstridig; (prøve at) forhindre noget,prøve at behage; optræde føjeligt og eftergivende,DISCREPANCY
svæve over vandene,2,1,bevæge sig ubemærket rundt,præge noget; være mærkbar,DISCREPANCY
uden mad og drikke duer helten ikke,3,0,man kan ikke udføre heltegerninger på tom mave,man må sørge for at få noget at spise og drikke hvis man vil klare sig,DISCREPANCY
ikke være mange sure sild værd,3,1,bruges for at udtrykke at indsatsen ikke er udbyttet værd,være udmattet eller nedtrykt,DISCREPANCY
give en god dag i noget,1,0,fornærme eller på anden vis optræde respektløst eller stødende,være ligeglad med noget; ikke bekymre sig om noget,DISCREPANCY
være tynd i papirerne,0,2,være uden interessant og vigtigt indhold - om tekst,"være usikker, uvidende, dårligt forberedt eller lignende",DISCREPANCY
mester for noget,0,3,"person der (uden at ville det) er skyld i en negativ udvikling, hændelse eller lignende","person der har skabt, designet eller udtænkt et kunstnerisk værk eller noget andet der gør indtryk",DISCREPANCY
komme ud af busken,3,0,fortælle om sin seksualitet; komme ud af skabet,sige eller gøre noget som man har været tilbageholdende med; tage et initiativ,DISCREPANCY
gå med halm i træskoene,2,0,gå forsigtigt så ens fodtrin ikke laver støj,"have et livssyn eller en tankegang der traditionelt forbindes med tidligere tiders enkle landliv, uden interesse for moderne udvikling og levevis",DISCREPANCY
andre boller på suppen,2,3,hjælpe nogen der befinder sig i en vanskelig situation,noget der er nyt og helt forskelligt fra det man kender til i den pågældende sammenhæng,DISCREPANCY
ligne hinanden som to dråber vand,2,3,være ens på samme måde som to vanddråber er ens,ligne hinanden fuldstændig,DISCREPANCY
lakrids mellem tæerne,1,3,snavs på steder hvor der sjældent bliver gjort rent,snavs mellem tæerne; snavsede fødder,DISCREPANCY
få skovlen under,2,1,"lykkes med at få en skovl under det man gerne vil grave op, og dermed være tæt på at gennemføre sit foretagende",besejre eller få overtaget over,DISCREPANCY
grus i maskineriet,0,2,"grus, jord, sand ellerlign. i et maskineri","modgang, problemer, forhindringer eller lignende",DISCREPANCY
have blod på hænderne,3,2,"have (andres) blod på sine hænder, typisk pga. en ulykke eller en forbrydelse",have blodige eller grusomme handlinger på samvittigheden,DISCREPANCY
puste til gløderne,0,2,puste til en ild der er ved at dø ud,få en strid til at udvikle sig (igen),DISCREPANCY
de forhåndenværende søms princip,0,1,en god begyndelse på noget forøger muligheden for en vellykket fortsættelse og afslutning,fremgangsmåde hvor man nøjes med de begrænsede midler der umiddelbart er til rådighed,DISCREPANCY
skulle have skolepengene tilbage,2,1,være berettiget til erstatning af et undervisningsgebyr,være dum eller uvidende om et bestemt forhold,DISCREPANCY
være i stødet,0,2,"anstrenge sig for at formulere noget, fx fordi det er svært at udtale eller fordi man vil undvige et pågående spørgsmål",være oplagt (til noget),DISCREPANCY
der er synk i nogen,3,2,give en omgang klø eller skældud,"nogen kan drikke meget, især alkohol",DISCREPANCY
have spidse albuer,0,2,person der har det meget dårligt fysisk og psykisk,hævde sig på andres bekostning,DISCREPANCY
med arme og ben,1,3,bruges om en aldeles fremragende præstation,af al magt; uhæmmet,DISCREPANCY
der går tretten på dusinet af noget,0,3,der skal tretten af en specifik genstand til at udgøre et dusin,"noget adskiller sig ikke fra mængden, er uden særlige kvaliteter, eller lignende",DISCREPANCY
