talemaade_udtryk,yes_count,option_idx,option_letter,category,definition
lægge låg på noget,2,2,C,abstract misinterpretation,ikke anerkende og give plads til negative følelser
hurtig hjælp er dobbelt hjælp,2,2,C,concrete misinterpretation,hurtig hjælp er dobbelt så nyttig som hjælp der ydes langsomt
puste til ilden,2,0,A,concrete misinterpretation,"puste til gløderne i et bål, en pejs eller lignende for at få dem til at flamme op"
måtte sige farvel til noget,3,1,B,concrete misinterpretation,være nødsaget til at sige farvel til noget
måtte sige farvel til noget,3,3,D,abstract misinterpretation,skille sig af med en skattet ejendel
"lev stærkt, dø ung",2,3,D,abstract misinterpretation,"hvis man har for meget fart på, bliver ens liv kort"
den rygende pistol,2,1,B,concrete misinterpretation,en pistol der netop er affyret
viske tavlen ren,2,3,D,concrete misinterpretation,fjerne kridt fra en tavle med en tavlesvamp
under én hat,2,1,B,abstract misinterpretation,bruges som udtryk for at flere personer har samme holdning eller overbevisning
uden mad og drikke duer helten ikke,2,3,D,concrete misinterpretation,man kan ikke udføre heltegerninger på tom mave
de bonede gulve,2,1,B,concrete misinterpretation,gulve som er behandlet med bonevoks eller lignende
hæve barren,2,1,B,concrete misinterpretation,hæve en barre -- fx i konkurrencer
mester for noget,2,0,A,abstract misinterpretation,"person der (uden at ville det) er skyld i en negativ udvikling, hændelse eller lignende"
mester for noget,2,2,C,concrete misinterpretation,dygtig udøver af et håndværk
ligne hinanden som to dråber vand,2,2,C,concrete misinterpretation,være ens på samme måde som to vanddråber er ens
lavthængende frugter,2,3,D,concrete misinterpretation,"frugter der befinder sig på træets nederste grene, og som derfor er nemme at plukke fra jorden"
pakke ind i vat,2,2,C,concrete misinterpretation,beskytte noget mod fx slag ved at pakke det ind i vat
panik før lukketid,2,2,C,concrete misinterpretation,hastværk i slutningen af åbningstiden
arbejde så blodet springer fra neglene,2,1,B,concrete misinterpretation,arbejde så hårdt at fingrene bløder
hele dynen,2,1,B,concrete misinterpretation,"en dyne i sin helhed, inkl. dun eller andet fyld, betræk mv."
smage af fugl,2,1,B,concrete misinterpretation,minde om smagen af fugl
have blod på hænderne,2,3,D,concrete misinterpretation,"have (andres) blod på sine hænder, typisk pga. en ulykke eller en forbrydelse"
puste til gløderne,3,0,A,concrete misinterpretation,puste til en ild der er ved at dø ud
puste til gløderne,3,3,D,abstract misinterpretation,tilføre romantik til et (langvarigt) kærlighedsforhold
"når enden er god, er alting godt",2,1,B,concrete misinterpretation,en god afslutning er væsentlig for kvaliteten
der er synk i nogen,2,1,B,abstract misinterpretation,nogen er meget energisk eller handlekraftig
