talemaade_udtryk,yes_count,option_idx,option_letter,category,definition
slå knuder på tungen,2,2,C,abstract misinterpretation,tie stille selvom man har meget at sige
hurtig hjælp er dobbelt hjælp,2,2,C,concrete misinterpretation,hurtig hjælp er dobbelt så nyttig som hjælp der ydes langsomt
puste til ilden,2,0,A,concrete misinterpretation,"puste til gløderne i et bål, en pejs eller lignende for at få dem til at flamme op"
måtte sige farvel til noget,2,1,B,concrete misinterpretation,være nødsaget til at sige farvel til noget
ramme muren,2,2,C,concrete misinterpretation,"støde ind i en mur, væg, ellerlign."
vride halsen om på nogen,2,0,A,concrete misinterpretation,dræbe ved kvælning
"lev stærkt, dø ung",2,0,A,concrete misinterpretation,"være stærk mens man er i live, men dø i en ung alder"
stryge med hårene,2,2,C,concrete misinterpretation,"ae nogen, fx et barn, på hovedet i den retning håret vokser"
spille sine kort godt,2,1,B,abstract misinterpretation,føre en fornuftig og langsigtet økonomisk politik
viske tavlen ren,2,3,D,concrete misinterpretation,fjerne kridt fra en tavle med en tavlesvamp
uden mad og drikke duer helten ikke,3,1,B,abstract misinterpretation,hvis ikke man får opfyldt sine basale behov kan man ikke være lykkelig
uden mad og drikke duer helten ikke,3,3,D,concrete misinterpretation,man kan ikke udføre heltegerninger på tom mave
de bonede gulve,2,1,B,concrete misinterpretation,gulve som er behandlet med bonevoks eller lignende
være tynd i papirerne,2,0,A,abstract misinterpretation,være uden interessant og vigtigt indhold - om tekst
spildte Guds ord på Balle-Lars,2,0,A,concrete misinterpretation,Balle-Lars forstår ikke det kristne budskab
komme ud af busken,2,3,D,abstract misinterpretation,fortælle om sin seksualitet; komme ud af skabet
ligne hinanden som to dråber vand,2,2,C,concrete misinterpretation,være ens på samme måde som to vanddråber er ens
lavthængende frugter,2,3,D,concrete misinterpretation,"frugter der befinder sig på træets nederste grene, og som derfor er nemme at plukke fra jorden"
nød lærer nøgen kvinde at spinde,2,2,C,concrete misinterpretation,hvis en kvinde er utilfreds med ikke at eje tøj til sig selv lærer hun at fremstille det
gå efter manden i stedet for bolden,2,2,C,concrete misinterpretation,gå efter en mand fremfor en bold
tage nogen ved hånden,2,1,B,concrete misinterpretation,holde nogen i hånden
pakke ind i vat,2,2,C,concrete misinterpretation,beskytte noget mod fx slag ved at pakke det ind i vat
panik før lukketid,2,2,C,concrete misinterpretation,hastværk i slutningen af åbningstiden
arbejde så blodet springer fra neglene,2,1,B,concrete misinterpretation,arbejde så hårdt at fingrene bløder
ikke være helt fin i kanten,2,3,D,concrete misinterpretation,have en eller flere fejl eller mangler der bryder en ellers perfekt kant
hele dynen,2,1,B,concrete misinterpretation,"en dyne i sin helhed, inkl. dun eller andet fyld, betræk mv."
have blod på hænderne,2,3,D,concrete misinterpretation,"have (andres) blod på sine hænder, typisk pga. en ulykke eller en forbrydelse"
puste til gløderne,3,0,A,concrete misinterpretation,puste til en ild der er ved at dø ud
puste til gløderne,3,3,D,abstract misinterpretation,tilføre romantik til et (langvarigt) kærlighedsforhold
have mange jern i ilden,2,1,B,concrete misinterpretation,have mange forskellige jern i sin esse
de forhåndenværende søms princip,2,0,A,random definition,en god begyndelse på noget forøger muligheden for en vellykket fortsættelse og afslutning
"når enden er god, er alting godt",2,1,B,concrete misinterpretation,en god afslutning er væsentlig for kvaliteten
gå hjem og vug,2,0,A,abstract misinterpretation,bruges til at overtale en (små)syg person til at gå hjem i seng
være ved sine sansers fulde brug,2,0,A,concrete misinterpretation,have kontrol med og udbytte af alle fem sanser
én fugl i hånden er bedre end ti på taget,3,0,A,abstract misinterpretation,det er mere værd at have én partner man stoler på end mange løse forhold
én fugl i hånden er bedre end ti på taget,3,2,C,concrete misinterpretation,det er bedre at have en fugl i sin hånd end at have ti fugle siddende på sit tag
med arme og ben,2,2,C,concrete misinterpretation,hvor man gør brug af både sine arme og ben
have alle trumfer på hånden,2,2,C,concrete misinterpretation,have de bedst mulige kort på hånden i et kortspil
være i ilden,2,1,B,abstract misinterpretation,være i fuld gang med at skabe eller udvikle noget nyt
og så er den potte ude,2,1,B,abstract misinterpretation,"det pågældende væddemål er afsluttet, typisk fordi resultatet af en sportskamp eller lignende foreligger"
man kan ikke lære en gammel hund nye kunster,3,0,A,concrete misinterpretation,det er ikke muligt at oplære en hund i ny adfærd efter den har nået en vis alder
man kan ikke lære en gammel hund nye kunster,3,3,D,abstract misinterpretation,det er svært at ændre indgroede vaner
komme på slagtebænken,2,0,A,concrete misinterpretation,"blive bragt til et slagteri -- om kvæg, svin eller andre slagtedyr"
"koste blod, sved og tårer",2,2,C,concrete misinterpretation,"være så anstrengende at det fremkalder både blod, sved og tårer"
munden står ikke stille på nogen,2,1,B,concrete misinterpretation,nogens mund er altid i bevægelse
gøre rent bord,2,1,B,concrete misinterpretation,rydde op så bordpladen er fri og ren
ligge lige til højrebenet,3,1,B,concrete misinterpretation,ligge godt til at sparke med højre ben -- om bold
ligge lige til højrebenet,3,2,C,abstract misinterpretation,"være nemmere at udføre ved at støtte på højre ben -- om træningsøvelse, yogastilling ellerlign."
tage pungen frem,2,0,A,concrete misinterpretation,fremdrage sin pengepung for at betale for bestemte varer eller en bestemt ydelse
"villa, Volvo og vovhund",2,0,A,concrete misinterpretation,eje villa og en bil af mærket Volvo og holde hund som kæledyr
kæden er hoppet af,2,2,C,concrete misinterpretation,"en kæde der forbinder to tandhjul, er sprunget af det ene eller begge tandhjul"
fiske i rørte vande,2,3,D,abstract misinterpretation,forsøge at udnytte at andre er en i udsat position -- ofte i romantisk henseende
bide sig fast,3,0,A,abstract misinterpretation,kæmpe ihærdigt med noget der er svært
bide sig fast,3,3,D,concrete misinterpretation,holde fast i noget ved at bide sammen om det
slå to fluer med ét smæk,2,0,A,concrete misinterpretation,"ramme to fluer i én, samlet bevægelse med hånden, fx med en fluesmækker"
ikke lægge fingrene imellem,2,1,B,abstract misinterpretation,ikke blande sig i andres konflikt
helt ude i skoven,2,1,B,abstract misinterpretation,i et øde område langt fra byer; i den vilde natur
klæder skaber folk,2,0,A,concrete misinterpretation,tøj er med til at forme en persons identitet
op ad bakke,2,2,C,concrete misinterpretation,i retning opad langs en stigning i landskabet
"højt at flyve, dybt at falde",2,3,D,concrete misinterpretation,"når man befinder sig højt oppe, er der også langt ned"
køre kanonerne i stilling,2,0,A,concrete misinterpretation,placere kanoner i en position hvor er klar til at blive affyret
en pose blandede bolsjer,2,3,D,concrete misinterpretation,en pose med bolsjer af forskellig art
"skomager, bliv ved din læst",3,0,A,concrete misinterpretation,en skomager bør ikke forlade sit værksted
"skomager, bliv ved din læst",3,2,C,abstract misinterpretation,pas dig selv og lad være med at blande dig i andres sager
ville give sin højre arm for noget,2,0,A,concrete misinterpretation,være parat til at lade sin højre arm amputere for en sag
vække den slumrende løve,2,1,B,concrete misinterpretation,vække en sovende løve
høre en knappenål falde til jorden,3,2,C,abstract misinterpretation,høre selv de svageste lyde
høre en knappenål falde til jorden,3,3,D,concrete misinterpretation,høre lyden af en knappenål der rammer underlaget
strø sand på,2,3,D,concrete misinterpretation,"kaste sand ud over et areal, fx et flisebelagt område"
være tredje hjul på vognen,2,2,C,concrete misinterpretation,"være et ekstra, tredje hjul på en vogn der kun har behov for to hjul for at køre"
være på tynd is,2,0,A,concrete misinterpretation,stå på et tyndt isdække der er i fare for at revne
få noget på halsen,2,0,A,concrete misinterpretation,få noget på sin hals
grave et par spadestik dybere,2,2,C,concrete misinterpretation,grave dybere ned i jorden end tidligere
vide hvordan kagen skal skæres,2,3,D,concrete misinterpretation,være klar over hvordan man skal skære en kage ud
"hvor der er hjerterum, er der husrum",2,2,C,concrete misinterpretation,hvis der er gæstfrit er der også rart at bo
det er lettere for en kamel at komme igennem et nåleøje end for en rig at komme ind i Guds rige,2,0,A,concrete misinterpretation,det er lettere at bevæge sig gennem en snæver passage end at komme ind i Paradis med penge eller andre værdigenstande
slå fast med syvtommersøm,2,0,A,abstract misinterpretation,tvinge en (kontroversiel) holdning igennem ved at fremføre argumenter
fyre godt op under kedlerne,2,3,D,concrete misinterpretation,tænde ild under mere end én kedel
målet helliger midlet,2,1,B,concrete misinterpretation,målet retfærdiggør metoden
være femte hjul på vognen,2,1,B,concrete misinterpretation,"være et ekstra, femte hjul på en vogn der kun har behov for fire hjul for at køre"
være helt ude i tovene,2,0,A,abstract misinterpretation,være fysisk udmattet (pga. hårdt arbejde); være udtømt for kræfter
kysten er klar,2,2,C,concrete misinterpretation,kysten er klar til brug
der gror ikke mos på en rullesten,2,0,A,concrete misinterpretation,"hvis en sten er i bevægelse, vil der ikke vokse mos på den"
ligeud ad landevejen,2,2,C,concrete misinterpretation,kørselsretning uden sving og andre afvigelser fra ligeudkørsel
der går inflation i noget,2,0,A,concrete misinterpretation,priserne stiger på en specifik vare eller varetype
få en spand koldt vand i hovedet,2,2,C,concrete misinterpretation,blive overhældt med koldt vand fra en spand
der skal to til tango,2,3,D,concrete misinterpretation,det kræver to personer at danse dansen tango
spille kong Gulerod,2,2,C,concrete misinterpretation,"spille en rolle som karakteren kong Gulerod, fx i et teaterstykke for børn"
"skønne, spildte kræfter",2,3,D,concrete misinterpretation,"energi der ikke bliver brugt til noget særligt, men spildt på ligegyldige ting"
have knive i ærmerne,2,3,D,abstract misinterpretation,medbringe noget overraskende eller overrumplende
"hvad man ikke ved, har man ikke ondt af",2,0,A,concrete misinterpretation,man kan ikke være ked af noget man ikke kender til
skyde sig selv i foden,2,0,A,concrete misinterpretation,skyde sig i foden for at gøre sig selv ukampdygtig -- historisk
våd som en druknet mus,2,0,A,concrete misinterpretation,lige så våd som en mus der er druknet
ikke større end tobak for en skilling,3,2,C,concrete misinterpretation,på størrelse med den mængde tobak man kan købe for en lille sum penge
ikke større end tobak for en skilling,3,3,D,abstract misinterpretation,ligegyldigt; ikke værd at beskæftige sig med
have kniven på struben,3,1,B,abstract misinterpretation,være tæt på at dø; befinde sig i en livstruende situation
have kniven på struben,3,3,D,concrete misinterpretation,blive truet med en knivsæg placeret mod ens strube
det må briste eller bære,2,2,C,concrete misinterpretation,det er uvist om en bestemt konstruktion er tilpas kraftig til det intenderede formål
stikke spaden i jorden,2,1,B,concrete misinterpretation,stikke en spade i jorden og begynde at grave
den ene tjeneste er den anden værd,2,1,B,concrete misinterpretation,en tjeneste har samme værdi som en anden tjeneste
have penge på kistebunden,2,0,A,concrete misinterpretation,have kontanter gemt nederst i en kiste (skjult under kistens øvrige indhold)
trykke på pauseknappen,3,0,A,concrete misinterpretation,sætte noget på pause ved at trykke på en knap
