talemaade_udtryk,yes_count,option_idx,option_letter,category,definition
lægge låg på noget,3,2,C,abstract misinterpretation,ikke anerkende og give plads til negative følelser
lægge låg på noget,3,3,D,concrete misinterpretation,lægge et låg på noget
hurtig hjælp er dobbelt hjælp,2,2,C,concrete misinterpretation,hurtig hjælp er dobbelt så nyttig som hjælp der ydes langsomt
puste til ilden,2,0,A,concrete misinterpretation,"puste til gløderne i et bål, en pejs eller lignende for at få dem til at flamme op"
måtte sige farvel til noget,3,1,B,concrete misinterpretation,være nødsaget til at sige farvel til noget
måtte sige farvel til noget,3,3,D,abstract misinterpretation,skille sig af med en skattet ejendel
skinnet bedrager,2,0,A,abstract misinterpretation,blot fordi solen er fremme betyder det ikke at det er varmt
lokummet brænder,2,0,A,abstract misinterpretation,der er ikke styr på basale fornødenheder
ramme muren,2,2,C,concrete misinterpretation,"støde ind i en mur, væg, ellerlign."
ikke have mange brikker at flytte rundt med,2,0,A,abstract misinterpretation,have en stram økonomi
vride halsen om på nogen,2,0,A,concrete misinterpretation,dræbe ved kvælning
"lev stærkt, dø ung",3,0,A,concrete misinterpretation,"være stærk mens man er i live, men dø i en ung alder"
"lev stærkt, dø ung",3,3,D,abstract misinterpretation,"hvis man har for meget fart på, bliver ens liv kort"
stryge med hårene,2,2,C,concrete misinterpretation,"ae nogen, fx et barn, på hovedet i den retning håret vokser"
den rygende pistol,2,1,B,concrete misinterpretation,en pistol der netop er affyret
give en gang lak,2,3,D,concrete misinterpretation,smøre lak på
under én hat,2,1,B,abstract misinterpretation,bruges som udtryk for at flere personer har samme holdning eller overbevisning
uden mad og drikke duer helten ikke,3,1,B,abstract misinterpretation,hvis ikke man får opfyldt sine basale behov kan man ikke være lykkelig
uden mad og drikke duer helten ikke,3,3,D,concrete misinterpretation,man kan ikke udføre heltegerninger på tom mave
ikke være mange sure sild værd,2,0,A,concrete misinterpretation,have en værdi der svarer til et lille antal sild
ikke være mange sure sild værd,2,3,D,abstract misinterpretation,bruges for at udtrykke at indsatsen ikke er udbyttet værd
være tynd i papirerne,2,0,A,abstract misinterpretation,være uden interessant og vigtigt indhold - om tekst
spildte Guds ord på Balle-Lars,2,0,A,concrete misinterpretation,Balle-Lars forstår ikke det kristne budskab
hæve barren,2,1,B,concrete misinterpretation,hæve en barre -- fx i konkurrencer
