talemaade_udtryk,yes_count,option_idx,option_letter,category,definition
slå knuder på tungen,2,2,C,abstract misinterpretation,tie stille selvom man har meget at sige
hurtig hjælp er dobbelt hjælp,2,2,C,concrete misinterpretation,hurtig hjælp er dobbelt så nyttig som hjælp der ydes langsomt
puste til ilden,2,0,A,concrete misinterpretation,"puste til gløderne i et bål, en pejs eller lignende for at få dem til at flamme op"
måtte sige farvel til noget,3,1,B,concrete misinterpretation,være nødsaget til at sige farvel til noget
måtte sige farvel til noget,3,3,D,abstract misinterpretation,skille sig af med en skattet ejendel
lokummet brænder,2,1,B,concrete misinterpretation,der er ild i toilettet
ramme muren,2,2,C,concrete misinterpretation,"støde ind i en mur, væg, ellerlign."
hælde vand ud af ørerne,2,3,D,abstract misinterpretation,undlade at lytte eller kigge selvom en person påkalder sig opmærksomhed; ignorere en person
vride halsen om på nogen,2,0,A,concrete misinterpretation,dræbe ved kvælning
"lev stærkt, dø ung",2,3,D,abstract misinterpretation,"hvis man har for meget fart på, bliver ens liv kort"
stryge med hårene,2,2,C,concrete misinterpretation,"ae nogen, fx et barn, på hovedet i den retning håret vokser"
under én hat,2,0,A,concrete misinterpretation,placeret under en enkelt hat
uden mad og drikke duer helten ikke,2,3,D,concrete misinterpretation,man kan ikke udføre heltegerninger på tom mave
de bonede gulve,2,1,B,concrete misinterpretation,gulve som er behandlet med bonevoks eller lignende
spildte Guds ord på Balle-Lars,2,0,A,concrete misinterpretation,Balle-Lars forstår ikke det kristne budskab
mester for noget,2,2,C,concrete misinterpretation,dygtig udøver af et håndværk
gå med halm i træskoene,2,2,C,abstract misinterpretation,gå forsigtigt så ens fodtrin ikke laver støj
holde på hat og briller,2,0,A,random definition,være på sporet af en sags rette sammenhæng; være inde på noget af det rigtige
ligne hinanden som to dråber vand,2,2,C,concrete misinterpretation,være ens på samme måde som to vanddråber er ens
lavthængende frugter,2,3,D,concrete misinterpretation,"frugter der befinder sig på træets nederste grene, og som derfor er nemme at plukke fra jorden"
der gror mos på nogen el. noget,2,3,D,abstract misinterpretation,nogen eller noget er trættende for andre at beskæftige sig med
tegn og underlige gerninger,2,3,D,concrete misinterpretation,mystiske tegn og handlinger som man ikke forstår
pakke ind i vat,2,2,C,concrete misinterpretation,beskytte noget mod fx slag ved at pakke det ind i vat
panik før lukketid,2,2,C,concrete misinterpretation,hastværk i slutningen af åbningstiden
arbejde så blodet springer fra neglene,2,1,B,concrete misinterpretation,arbejde så hårdt at fingrene bløder
smage af fugl,2,1,B,concrete misinterpretation,minde om smagen af fugl
have blod på hænderne,2,3,D,concrete misinterpretation,"have (andres) blod på sine hænder, typisk pga. en ulykke eller en forbrydelse"
puste til gløderne,2,0,A,concrete misinterpretation,puste til en ild der er ved at dø ud
næsten ikke kunne få armene ned,2,3,D,concrete misinterpretation,have svært ved at sænke hænderne til under skulderhøjde
skulle have skolepengene tilbage,2,2,C,concrete misinterpretation,være berettiget til erstatning af et undervisningsgebyr
gå hjem og vug,2,3,D,concrete misinterpretation,gå hjem i seng
nissen flytter med,3,1,B,concrete misinterpretation,"når man flytter, bliver en (jule)nisse taget med"
nissen flytter med,3,3,D,abstract misinterpretation,traditioner forgår ikke så let
kaste med mudder,2,3,D,abstract misinterpretation,"bevidst skabe splid i en gruppe, fx på en arbejdsplads"
én fugl i hånden er bedre end ti på taget,2,2,C,concrete misinterpretation,det er bedre at have en fugl i sin hånd end at have ti fugle siddende på sit tag
have alle trumfer på hånden,2,2,C,concrete misinterpretation,have de bedst mulige kort på hånden i et kortspil
med lodder og trisser,2,0,A,concrete misinterpretation,holdt på plads vha. lodder og trisser -- om fortøjning eller andet tovværk
stå på gloende pæle,2,1,B,random definition,få en endefuld; få prygl
belåne til op over skorstenen,2,0,A,abstract misinterpretation,låne mange penge ud
køre med klatten,2,0,A,abstract misinterpretation,køre på en hensynsløs og uansvarlig måde
og så er den potte ude,2,1,B,abstract misinterpretation,"det pågældende væddemål er afsluttet, typisk fordi resultatet af en sportskamp eller lignende foreligger"
man kan ikke lære en gammel hund nye kunster,3,0,A,concrete misinterpretation,det er ikke muligt at oplære en hund i ny adfærd efter den har nået en vis alder
man kan ikke lære en gammel hund nye kunster,3,3,D,abstract misinterpretation,det er svært at ændre indgroede vaner
komme på slagtebænken,2,0,A,concrete misinterpretation,"blive bragt til et slagteri -- om kvæg, svin eller andre slagtedyr"
eneste hane i kurven,2,1,B,concrete misinterpretation,en kurv med flere høner men kun én hane
"koste blod, sved og tårer",2,2,C,concrete misinterpretation,"være så anstrengende at det fremkalder både blod, sved og tårer"
munden står ikke stille på nogen,2,1,B,concrete misinterpretation,nogens mund er altid i bevægelse
gå ud som et lys,2,0,A,concrete misinterpretation,blive slukket eller afbrudt brat
ligge lige til højrebenet,2,1,B,concrete misinterpretation,ligge godt til at sparke med højre ben -- om bold
tage pungen frem,2,0,A,concrete misinterpretation,fremdrage sin pengepung for at betale for bestemte varer eller en bestemt ydelse
"villa, Volvo og vovhund",2,0,A,concrete misinterpretation,eje villa og en bil af mærket Volvo og holde hund som kæledyr
kæden er hoppet af,2,2,C,concrete misinterpretation,"en kæde der forbinder to tandhjul, er sprunget af det ene eller begge tandhjul"
døden skal have en årsag,2,3,D,concrete misinterpretation,der skal altid anføres en dødsårsag
fiske i rørte vande,2,3,D,abstract misinterpretation,forsøge at udnytte at andre er en i udsat position -- ofte i romantisk henseende
bide sig fast,2,0,A,abstract misinterpretation,kæmpe ihærdigt med noget der er svært
slå to fluer med ét smæk,2,0,A,concrete misinterpretation,"ramme to fluer i én, samlet bevægelse med hånden, fx med en fluesmækker"
stå malet i ansigtet på nogen,2,2,C,concrete misinterpretation,være skrevet i panden eller kinderne på nogen
åbne sit hjerte,2,0,A,abstract misinterpretation,udtrykke stærke og kærlige følelser; erklære sin kærlighed til en person
helt ude i skoven,2,1,B,abstract misinterpretation,i et øde område langt fra byer; i den vilde natur
klæder skaber folk,2,0,A,concrete misinterpretation,tøj er med til at forme en persons identitet
op ad bakke,2,2,C,concrete misinterpretation,i retning opad langs en stigning i landskabet
Lars Tyndskids mark,3,2,C,concrete misinterpretation,en mark tilhørende en person ved navn Lars Tyndskid
Lars Tyndskids mark,3,3,D,random definition,påtage sig en ubehagelig og evt. skæbnesvanger opgave sådan at en anden slipper for den
"går den, så går den",2,1,B,concrete misinterpretation,noget er i gang og fortsætter med at være det
"højt at flyve, dybt at falde",2,3,D,concrete misinterpretation,"når man befinder sig højt oppe, er der også langt ned"
køre kanonerne i stilling,2,0,A,concrete misinterpretation,placere kanoner i en position hvor er klar til at blive affyret
en pose blandede bolsjer,2,3,D,concrete misinterpretation,en pose med bolsjer af forskellig art
vende tingene på hovedet,2,3,D,abstract misinterpretation,skifte radikalt mening i forhold til hvad man tidligere har ment
høre en knappenål falde til jorden,3,2,C,abstract misinterpretation,høre selv de svageste lyde
høre en knappenål falde til jorden,3,3,D,concrete misinterpretation,høre lyden af en knappenål der rammer underlaget
være tredje hjul på vognen,2,2,C,concrete misinterpretation,"være et ekstra, tredje hjul på en vogn der kun har behov for to hjul for at køre"
komme gennem kødhakkeren,2,3,D,random definition,udvikle sig (ukontrolleret) i en forkert retning; komme i uføre
man skal ikke sælge skindet før bjørnen er skudt,2,2,C,concrete misinterpretation,man skal ikke sælge noget man ikke ejer
så du røgen,2,2,C,concrete misinterpretation,har en person set en synlig luftmasse der dannes ved forbrænding
ikke tro nogen over en dørtærskel,2,1,B,abstract misinterpretation,ikke ønske at nogen træder ind i ens hjem
ikke tro nogen over en dørtærskel,2,3,D,random definition,svigte nogen ved fx at afbryde kontakten med vedkommende
målet helliger midlet,2,1,B,concrete misinterpretation,målet retfærdiggør metoden
være femte hjul på vognen,2,1,B,concrete misinterpretation,"være et ekstra, femte hjul på en vogn der kun har behov for fire hjul for at køre"
der gror ikke mos på en rullesten,2,0,A,concrete misinterpretation,"hvis en sten er i bevægelse, vil der ikke vokse mos på den"
ind til benet,2,3,D,concrete misinterpretation,(helt) ind til knoglen
ligeud ad landevejen,2,2,C,concrete misinterpretation,kørselsretning uden sving og andre afvigelser fra ligeudkørsel
der går inflation i noget,2,0,A,concrete misinterpretation,priserne stiger på en specifik vare eller varetype
der skal to til tango,2,3,D,concrete misinterpretation,det kræver to personer at danse dansen tango
spille kong Gulerod,2,0,A,abstract misinterpretation,lave ballade; lave et stort postyr
"skønne, spildte kræfter",3,0,A,abstract misinterpretation,oversete eller spildte chancer og muligheder
"skønne, spildte kræfter",3,3,D,concrete misinterpretation,"energi der ikke bliver brugt til noget særligt, men spildt på ligegyldige ting"
have knive i ærmerne,3,0,A,concrete misinterpretation,"være udstyret med skjulte stikvåben -- om en jakke, skjorte eller lignende"
have knive i ærmerne,3,3,D,abstract misinterpretation,medbringe noget overraskende eller overrumplende
det er her det sner,2,2,C,random definition,i en (tænkt) situation hvor alle afgørende forhold er så gode som de kan blive
is i maven,2,2,C,random definition,"stort problem eller vanskeligt emne som alle kender til og er opmærksomme på, men som ingen vil tale om"
"hvad man ikke ved, har man ikke ondt af",2,0,A,concrete misinterpretation,man kan ikke være ked af noget man ikke kender til
ikke lade solen gå ned over sin vrede,2,0,A,concrete misinterpretation,ikke gå vred i seng
våd som en druknet mus,2,0,A,concrete misinterpretation,lige så våd som en mus der er druknet
ikke større end tobak for en skilling,3,2,C,concrete misinterpretation,på størrelse med den mængde tobak man kan købe for en lille sum penge
ikke større end tobak for en skilling,3,3,D,abstract misinterpretation,ligegyldigt; ikke værd at beskæftige sig med
have kniven på struben,2,1,B,abstract misinterpretation,være tæt på at dø; befinde sig i en livstruende situation
stå med håret ned ad nakken,4,0,A,concrete misinterpretation,stå med sit lange hår hængende løst
stå med håret ned ad nakken,4,1,B,abstract misinterpretation,netop være stået ud af sengen om morgenen efter nattens søvn
stå med håret ned ad nakken,4,2,C,random definition,komme af sted efter lang tids nølen; langt om længe tage sig sammen
trykke på pauseknappen,2,0,A,concrete misinterpretation,sætte noget på pause ved at trykke på en knap
grave grøfter,2,0,A,concrete misinterpretation,grave lange render langs med veje
ramme hovedet på sømmet,2,1,B,abstract misinterpretation,udføre en opgave særdeles tilfredsstillende
"ude af øje, ude af sind",2,1,B,abstract misinterpretation,bruges om en situation hvor man undlader at forholde sig til noget ubehageligt
binde på hænder og fødder,2,3,D,abstract misinterpretation,fratage modstanderen muligheden for at kæmpe videre; gøre ukampdygtig
der bliver ingen bukser ud af det skind,2,2,C,concrete misinterpretation,det her skind er uegnet til fremstilling af bukser
