talemaade_udtryk,yes_count,option_idx,option_letter,category,definition
lægge låg på noget,3,0,A,random definition,lægge mærke til og huske på
lægge låg på noget,3,2,C,abstract misinterpretation,ikke anerkende og give plads til negative følelser
tale med store bogstaver,2,1,B,random definition,"febrilskhed der skyldes at en tidsfrist er tæt ved at være overskredet, eller at noget snart er uigenkaldeligt forbi"
lang næse,2,0,A,abstract misinterpretation,nedladende eller på anden måde negativ kritik
slå knuder på tungen,2,2,C,abstract misinterpretation,tie stille selvom man har meget at sige
hurtig hjælp er dobbelt hjælp,2,2,C,concrete misinterpretation,hurtig hjælp er dobbelt så nyttig som hjælp der ydes langsomt
puste til ilden,3,0,A,concrete misinterpretation,"puste til gløderne i et bål, en pejs eller lignende for at få dem til at flamme op"
puste til ilden,3,1,B,abstract misinterpretation,hjælpe en person der befinder sig i en beklemt eller udsat situation
måtte sige farvel til noget,3,1,B,concrete misinterpretation,være nødsaget til at sige farvel til noget
måtte sige farvel til noget,3,3,D,abstract misinterpretation,skille sig af med en skattet ejendel
ikke have salt til et æg,2,0,A,abstract misinterpretation,ikke kunne lave velsmagende mad; være en dårlig kok
skinnet bedrager,4,0,A,abstract misinterpretation,blot fordi solen er fremme betyder det ikke at det er varmt
skinnet bedrager,4,2,C,random definition,have problemer; være meget træt og nedslidt
skinnet bedrager,4,3,D,concrete misinterpretation,huden skjuler ofte sygdomme i kroppen
ikke have opfundet den dybe tallerken,3,1,B,random definition,"gå til grunde økonomisk, socialt og fysisk, ofte i forbindelse med alkoholmisbrug"
ikke have opfundet den dybe tallerken,3,3,D,abstract misinterpretation,ikke have tilbøjelighed til at prale eller sætte sig selv i fokus
lokummet brænder,2,0,A,abstract misinterpretation,der er ikke styr på basale fornødenheder
det er der ingen ben i,3,0,A,random definition,koste mange penge; være dyr
det er der ingen ben i,3,1,B,abstract misinterpretation,det er ikke økonomisk forsvarligt; det er ikke gangbart i virkeligheden
ramme muren,3,2,C,concrete misinterpretation,"støde ind i en mur, væg, ellerlign."
ramme muren,3,3,D,random definition,"slippe af med eller blive fri for en bestemt følelse, tanke, sygdom eller lignende"
ikke have mange brikker at flytte rundt med,2,0,A,abstract misinterpretation,have en stram økonomi
det kommer ikke det smør ved,2,2,C,random definition,"ændre fremgangsmåde, taktik eller adfærd (fordi den tidligere anvendte er uønsket, har vist sig uheldig eller lignende)"
hælde vand ud af ørerne,2,3,D,abstract misinterpretation,undlade at lytte eller kigge selvom en person påkalder sig opmærksomhed; ignorere en person
vride halsen om på nogen,3,0,A,concrete misinterpretation,dræbe ved kvælning
vride halsen om på nogen,3,1,B,abstract misinterpretation,tvinge en beslutning igennem på trods af andres indsigelser
være på egen boldgade,2,1,B,abstract misinterpretation,beherske sine følelser
"lev stærkt, dø ung",3,0,A,concrete misinterpretation,"være stærk mens man er i live, men dø i en ung alder"
"lev stærkt, dø ung",3,3,D,abstract misinterpretation,"hvis man har for meget fart på, bliver ens liv kort"
stryge med hårene,4,0,A,random definition,være modvillig eller genstridig; (prøve at) forhindre noget
stryge med hårene,4,1,B,abstract misinterpretation,"rose en persons udseende, især vedkommendes hår eller frisure"
