udtryk_id	talemaade_udtryk	korrekt_def	falsk1	falsk2	falsk3
59010875	lægge låg på noget	1	3	2	0
59002279	snyde nogen så vandet driver	3	0	1	2
59004867	tale med store bogstaver	3	2	0	1
59003683	lang næse	1	2	0	3
59012501	slå knuder på tungen	0	1	2	3
59000497	hurtig hjælp er dobbelt hjælp	0	2	3	1
59000852	puste til ilden	2	0	1	3
59001158	måtte sige farvel til noget	0	1	3	2
59001305	et levende leksikon	1	3	2	0
59009021	ikke have salt til et æg	1	3	0	2
59000260	skinnet bedrager	1	3	0	2
59000942	ikke have opfundet den dybe tallerken	0	2	3	1
59000443	lokummet brænder	2	1	0	3
59010011	det er der ingen ben i	3	2	1	0
59003592	ramme muren	0	2	1	3
59011740	ikke have mange brikker at flytte rundt med	2	3	0	1
59006724	danse efter nogens pibe	2	0	3	1
59006111	det kommer ikke det smør ved	3	0	1	2
59000282	hælde vand ud af ørerne	2	0	3	1
59005689	vride halsen om på nogen	3	0	1	2
59011671	være på egen boldgade	2	0	1	3
59003693	male byen rød	0	2	3	1
59004900	løbet er kørt	2	0	3	1
59007111	lev stærkt, dø ung	1	0	3	2
59003354	stryge med hårene	3	2	1	0
59011092	den rygende pistol	2	1	3	0
59009052	svæve over vandene	1	3	2	0
59000438	give en gang lak	2	3	1	0
59004305	være på bølgelængde	1	0	2	3
59012818	spille sine kort godt	2	3	1	0
59004567	viske tavlen ren	0	3	1	2
59005034	løbe om hjørner med	1	2	3	0
59009596	under én hat	3	0	1	2
59003944	så går den vilde jagt	3	1	0	2
59003851	uden mad og drikke duer helten ikke	0	3	1	2
59001032	ikke være mange sure sild værd	1	0	3	2
59006885	de bonede gulve	2	1	3	0
59003996	få beskidte hænder	0	3	2	1
59005184	hul på bylden	3	2	1	0
59006275	vejen til en mands hjerte går gennem maven	2	3	1	0
59008997	med næb og kløer	0	1	3	2
59007465	leve som hund og kat	2	3	0	1
59005970	give en god dag i noget	0	2	3	1
59005916	male fanden på væggen	2	0	1	3
59007130	være tynd i papirerne	2	3	0	1
59006378	synge på sidste vers	3	2	1	0
59010531	slå større brød op end man kan bage	3	0	2	1
59004855	spildte Guds ord på Balle-Lars	2	0	3	1
59000498	hæve barren	2	1	0	3
59012367	sandheden er ilde hørt	0	1	3	2
59009659	det går ned ad bakke	1	2	3	0
59002143	blind høne finder også korn	3	1	0	2
59008443	mester for noget	3	2	0	1
59002321	trække en streg i sandet	1	0	3	2
59003455	bløde fronterne op	1	2	3	0
59003418	langt hen ad vejen	3	0	2	1
59013074	hænge i sin mors skørter	3	1	0	2
59005127	grine hele vejen til banken	0	3	1	2
59000316	komme ud af busken	0	1	3	2
59002357	gå med halm i træskoene	0	1	2	3
59009192	give med den ene hånd og tage med den anden	3	1	0	2
59003025	holde på hat og briller	3	1	2	0
59008223	andre boller på suppen	3	0	1	2
59007779	ligne hinanden som to dråber vand	3	2	0	1
59006691	en dråbe i havet	1	0	2	3
59006409	lavthængende frugter	2	3	1	0
59007131	når man ikke vil høre, må man føle	2	1	0	3
59004455	nød lærer nøgen kvinde at spinde	1	2	0	3
59004398	der gror mos på nogen el. noget	0	1	3	2
59004508	det fagreste træ i skoven	1	0	2	3
59011048	lakrids mellem tæerne	3	2	1	0
59005325	ikke nå nogen til knæene	1	0	2	3
59007750	gå efter manden i stedet for bolden	1	2	3	0
59012119	tegn og underlige gerninger	1	3	2	0
59003969	tage nogen ved hånden	0	1	3	2
59008466	tage nogen med bukserne nede	2	0	3	1
59012930	pakke ind i vat	0	2	1	3
59000357	panik før lukketid	0	2	3	1
59000410	få skovlen under	1	2	0	3
59006690	en dans på roser	0	1	2	3
59006559	arbejde så blodet springer fra neglene	2	1	3	0
59000335	være i lommen på	3	0	1	2
59000990	grus i maskineriet	2	0	1	3
59003621	ikke være helt fin i kanten	1	3	0	2
59000992	hele dynen	3	1	2	0
59007339	smage af fugl	0	1	2	3
59009336	have blod på hænderne	2	3	1	0
59000633	puste til gløderne	2	0	3	1
59007328	have mange jern i ilden	2	1	0	3
59004892	næsten ikke kunne få armene ned	2	3	1	0
59006049	ikke vide om man er købt eller solgt	0	1	2	3
59012808	de forhåndenværende søms princip	1	2	3	0
59005015	når enden er god, er alting godt	0	1	3	2
59001373	komme ud af røret	1	3	0	2
59000950	skulle have skolepengene tilbage	1	2	0	3
59009885	skære ud i pap	1	0	3	2
59001285	gå hjem og vug	1	3	0	2
59002042	krydse nogens vej	3	2	1	0
59004779	gå i brædderne	0	2	3	1
59003166	kronen på værket	2	0	3	1
59007047	være i stødet	2	3	1	0
59005425	slippe katten ud af sækken	2	0	3	1
59006992	være højt på strå	3	1	2	0
59012355	der er synk i nogen	2	0	1	3
59003482	ikke være nogens kop te	3	0	1	2
59005163	det ene ord tager det andet	1	2	3	0
59007132	være høj i hatten	2	3	1	0
59000987	feje ind under gulvtæppet	3	1	0	2
59006007	nissen flytter med	0	1	3	2
59011613	være ved sine sansers fulde brug	2	0	3	1
59005763	kæmpe mod vindmøller	1	2	3	0
59002352	have spidse albuer	2	3	1	0
59002370	kaste med mudder	2	0	3	1
59011203	for fulde gardiner	3	1	2	0
59012880	religion er opium for folket	2	0	3	1
59002257	én fugl i hånden er bedre end ti på taget	3	2	0	1
59005274	med arme og ben	3	2	1	0
59000892	have ryggen mod muren	0	2	1	3
59005355	have alle trumfer på hånden	3	2	0	1
59009665	det er en dårlig fugl der skider i sin egen rede	1	0	2	3
59012622	med lodder og trisser	3	0	2	1
