talemaade_udtryk	A	B	C	D
lægge låg på noget	lægge mærke til og huske på	afslutte, skjule eller lægge en dæmper på noget	ikke anerkende og give plads til negative følelser	lægge et låg på noget
snyde nogen så vandet driver	snyde nogen på en måde så de begynder at græde	snyde nogen på en måde som den forurettede efterfølgende vil opleve som morsomt	overvåge; kontrollere	snyde nogen groft
tale med store bogstaver	snak eller sladder der foregår i et højt lydniveau	febrilskhed der skyldes at en tidsfrist er tæt ved at være overskredet, eller at noget snart er uigenkaldeligt forbi	tale nedskrevet med store bogstaver	udtale sin kritiske mening højt og bestemt; skælde ud
lang næse	nedladende eller på anden måde negativ kritik	skuffelse; følelse af at være snydt	næse som er mere fremtrædende end gennemsnittet	ikke være særlig (bogligt) begavet
slå knuder på tungen	anstrenge sig for at formulere noget, fx fordi det er svært at udtale eller fordi man vil undvige et pågående spørgsmål	binde en snor fast rundt om en tunge	tie stille selvom man har meget at sige	være mere grundig; undersøge nærmere
hurtig hjælp er dobbelt hjælp	jo tidligere en hjælp ydes, desto mere effektiv er den	(kræve) stor anstrengelse og offervilje	hurtig hjælp er dobbelt så nyttig som hjælp der ydes langsomt	hvis man løser en opgave for hurtigt, får man ofte mere arbejde at lave
puste til ilden	puste til gløderne i et bål, en pejs eller lignende for at få dem til at flamme op	hjælpe en person der befinder sig i en beklemt eller udsat situation	gøre en konflikt eller spændt situation værre, fx ved at komme med provokerende bemærkninger	ingen bliver straffet for sine tanker
måtte sige farvel til noget	erkende at have lidt et (økonomisk) tab, mistet en mulighed eller lignende	være nødsaget til at sige farvel til noget	arbejde med for mange ting samtidig; slide sig op	skille sig af med en skattet ejendel
et levende leksikon	være meget begejstret, engageret eller ustyrlig, fx i forbindelse med en leg eller en diskussion	en person med stor viden, ofte inden for mange områder	en person man synes er irriterende fordi vedkommende ofte påpeger fejl	en ulykke sker for det meste inden for samme periode som andre ulykker
ikke have salt til et æg	ikke kunne lave velsmagende mad; være en dårlig kok	være fattig	skynde sig at komme i gang med noget	ikke have (mere) salt
skinnet bedrager	blot fordi solen er fremme betyder det ikke at det er varmt	det ydre giver ikke nødvendigvis udtryk for de indre, sande kvaliteter hos noget eller nogen, eller for hvordan noget i virkeligheden forholder sig	have problemer; være meget træt og nedslidt	huden skjuler ofte sygdomme i kroppen
ikke have opfundet den dybe tallerken	ikke være særlig (bogligt) begavet	gå til grunde økonomisk, socialt og fysisk, ofte i forbindelse med alkoholmisbrug	ikke være opfinderen bag en tallerken med fordybning i midten	ikke have tilbøjelighed til at prale eller sætte sig selv i fokus
lokummet brænder	der er ikke styr på basale fornødenheder	der er ild i toilettet	der er (udsigt til) problemer	man har tilbøjelighed til at omgås ligesindede
det er der ingen ben i	koste mange penge; være dyr	det er ikke økonomisk forsvarligt; det er ikke gangbart i virkeligheden	der er ingen fiskeben i denne anretning	det er nemt at udføre eller forstå
ramme muren	blive drænet for kræfter med en mærkbar nedgang i fysisk præstation til følge	færdiggøre murerarbejdet i et husbyggeri	støde ind i en mur, væg, ellerlign.	slippe af med eller blive fri for en bestemt følelse, tanke, sygdom eller lignende
ikke have mange brikker at flytte rundt med	have en stram økonomi	skuffelse; følelse af at være snydt	ikke være særlig begavet	ikke have mange brikker tilbage i et brætspil
danse efter nogens pibe	lade sig lede i en pardans af en piberyger	tilpasse sig og tage nye beslutninger i en proces hvor vilkårene løbende ændrer sig	rette sig efter nogen; være underkastet nogens vilje	danse til levende musik
det kommer ikke det smør ved	det har ikke noget med denne slags smør at gøre	det er en fedtfattig udgave	ændre fremgangsmåde, taktik eller adfærd (fordi den tidligere anvendte er uønsket, har vist sig uheldig eller lignende)	det vedrører ikke den sag; det er ikke relevant i den sammenhæng
hælde vand ud af ørerne	lade vand strømme ud af et badedyrs ører	bruges om noget der er ujævnt, eller om et stykke arbejde der er dårligt udført	sige noget uden særlig meget indhold, fx for at vinde tid eller undskylde noget	undlade at lytte eller kigge selvom en person påkalder sig opmærksomhed; ignorere en person
vride halsen om på nogen	dræbe ved kvælning	tvinge en beslutning igennem på trods af andres indsigelser	i stand til at tænke klart; tilregnelig	få nogen til at makke ret ved at presse eller true
