udtryk_id	talemaade_udtryk	ddo_definition
59010875	lægge låg på noget	afslutte, skjule eller lægge en dæmper på noget
59002279	snyde nogen så vandet driver	snyde nogen groft
59004867	tale med store bogstaver	udtale sin kritiske mening højt og bestemt; skælde ud
59003683	lang næse	skuffelse; følelse af at være snydt
59012501	slå knuder på tungen	anstrenge sig for at formulere noget, fx fordi det er svært at udtale eller fordi man vil undvige et pågående spørgsmål
59000497	hurtig hjælp er dobbelt hjælp	jo tidligere en hjælp ydes, desto mere effektiv er den
59000852	puste til ilden	gøre en konflikt eller spændt situation værre, fx ved at komme med provokerende bemærkninger
59001158	måtte sige farvel til noget	erkende at have lidt et (økonomisk) tab, mistet en mulighed eller lignende
59001305	et levende leksikon	en person med stor viden, ofte inden for mange områder
59009021	ikke have salt til et æg	være fattig
59000260	skinnet bedrager	det ydre giver ikke nødvendigvis udtryk for de indre, sande kvaliteter hos noget eller nogen, eller for hvordan noget i virkeligheden forholder sig
59000942	ikke have opfundet den dybe tallerken	ikke være særlig (bogligt) begavet
59000443	lokummet brænder	der er (udsigt til) problemer
59010011	det er der ingen ben i	det er nemt at udføre eller forstå
59003592	ramme muren	blive drænet for kræfter med en mærkbar nedgang i fysisk præstation til følge
59011740	ikke have mange brikker at flytte rundt med	ikke være særlig begavet
59006724	danse efter nogens pibe	rette sig efter nogen; være underkastet nogens vilje
59006111	det kommer ikke det smør ved	det vedrører ikke den sag; det er ikke relevant i den sammenhæng
59000282	hælde vand ud af ørerne	sige noget uden særlig meget indhold, fx for at vinde tid eller undskylde noget
59005689	vride halsen om på nogen	få nogen til at makke ret ved at presse eller true
59011671	være på egen boldgade	være på egen hånd; være uden tilsyn
59003693	male byen rød	drikke og more sig uden for sit eget hjem
59004900	løbet er kørt	sagen, foretagendet eller kampen er afsluttet eller afgjort, og det er derfor ikke muligt at påvirke eller ændre på udfaldet
59007111	lev stærkt, dø ung	bruges for at udtrykke den opfattelse at det er bedre at tage chancer, leve livet fuldt ud og give efter for sine lyster end søge tryghed og faste rammer, også selvom man derved sætter livet på spil og risikerer at dø i en ung alder
59003354	stryge med hårene	prøve at behage; optræde føjeligt og eftergivende
59011092	den rygende pistol	det synlige eller på anden måde uigendrivelige bevis der fælder forbryderen i en kriminalsag
59009052	svæve over vandene	præge noget; være mærkbar
59000438	give en gang lak	give en omgang klø eller skældud
59004305	være på bølgelængde	nære en ofte umiddelbar og uudtalt forståelse for; have fælles interesser eller samme smag
59012818	spille sine kort godt	udnytte sine muligheder; handle klogt
59004567	viske tavlen ren	se bort fra tidligere uheldige hændelser eller gerninger; begynde på en frisk
59005034	løbe om hjørner med	narre; snyde
59009596	under én hat	på samme sted, under samme organisation eller under samme institution
59003944	så går den vilde jagt	der foregår en intensiv forfølgelse eller eftersøgning; der foregår en heftig aktivitet med hurtige bevægelser eller handlinger
59003851	uden mad og drikke duer helten ikke	man må sørge for at få noget at spise og drikke hvis man vil klare sig
59001032	ikke være mange sure sild værd	være udmattet eller nedtrykt
59006885	de bonede gulve	de finere kredse, etablissementet; inderkredsen (i en politisk magtstruktur)
59003996	få beskidte hænder	udføre manuelt arbejde; arbejde hårdt eller flittigt
59005184	hul på bylden	gang i noget der har voldt besvær eller været et problem
59006275	vejen til en mands hjerte går gennem maven	man vinder en mands kærlighed ved at lave god mad til ham
59008997	med næb og kløer	af alle kræfter; på en indædt, beslutsom eller meget energisk måde
59007465	leve som hund og kat	leve sammen og altid være uenige og skændes
59005970	give en god dag i noget	være ligeglad med noget; ikke bekymre sig om noget
59005916	male fanden på væggen	fremstille noget overdrevent negativt; straks tro det værste
59007130	være tynd i papirerne	være usikker, uvidende, dårligt forberedt eller lignende
59006378	synge på sidste vers	nærme sig afslutningen
59010531	slå større brød op end man kan bage	begynde på noget som man ikke kan gennemføre
59004855	spildte Guds ord på Balle-Lars	forgæves forsøg på at overbevise eller belære en person der synes ganske uimodtagelig for fornuft
59000498	hæve barren	øge ambitionerne eller kravene; hæve standarden
59012367	sandheden er ilde hørt	folk vil ikke høre eller erkende sandheden
59009659	det går ned ad bakke	der sker en dårlig udvikling på et bestemt område
59002143	blind høne finder også korn	bruges ofte (selv)ironisk for at udtrykke at selv en person uden de store forudsætninger, med lidt held, kan løse en bestemt opgave
59008443	mester for noget	person der har skabt, designet eller udtænkt et kunstnerisk værk eller noget andet der gør indtryk
59002321	trække en streg i sandet	tydeligt og klart markere en grænse for noget
59003455	bløde fronterne op	gøre uenige parter mere forsonlige
59003418	langt hen ad vejen	for størstedelens vedkommende; næsten helt
59013074	hænge i sin mors skørter	være meget knyttet til og afhængig af sin mor
59005127	grine hele vejen til banken	glæde sig over en økonomisk succes
59000316	komme ud af busken	sige eller gøre noget som man har været tilbageholdende med; tage et initiativ
59002357	gå med halm i træskoene	have et livssyn eller en tankegang der traditionelt forbindes med tidligere tiders enkle landliv, uden interesse for moderne udvikling og levevis
59009192	give med den ene hånd og tage med den anden	yde noget til nogen, men derefter fratage vedkommende dét eller noget andet
59003025	holde på hat og briller	passe på fordi noget (voldsomt) begynder eller finder sted
59008223	andre boller på suppen	noget der er nyt og helt forskelligt fra det man kender til i den pågældende sammenhæng
59007779	ligne hinanden som to dråber vand	ligne hinanden fuldstændig
59006691	en dråbe i havet	en ubetydelighed; meget lidt
59006409	lavthængende frugter	mål eller resultater der er lette og hurtige at nå, og som ikke kræver den store indsats
59007131	når man ikke vil høre, må man føle	når man ikke vil lytte til andres råd, må man selv bære de ubehagelige konsekvenser
59004455	nød lærer nøgen kvinde at spinde	hvis man i tilstrækkelig høj grad ønsker at løse et bestemt problem, skal man nok også finde en måde at gøre det på
59004398	der gror mos på nogen el. noget	nogen/noget ældes (og glemmes) med tiden
59004508	det fagreste træ i skoven	det som er vigtigst og betyder mest
59011048	lakrids mellem tæerne	snavs mellem tæerne; snavsede fødder
59005325	ikke nå nogen til knæene	have meget ringe evner i forhold til en anden
59007750	gå efter manden i stedet for bolden	(i en diskussion) blive personlig og dermed rette angreb mod personen frem for at beskæftige sig med dennes argumenter
59012119	tegn og underlige gerninger	uforståelige eller forunderlige handlinger eller fænomener
59003969	tage nogen ved hånden	hjælpe eller vejlede nogen
59008466	tage nogen med bukserne nede	overrumple nogen og derved afsløre vedkommende i en pinlig situation eller sammenhæng; overraske nogen og derved gennemføre noget mod vedkommendes vilje
59012930	pakke ind i vat	overbeskytte; forskåne for ubehagelige oplevelser
59000357	panik før lukketid	febrilskhed der skyldes at en tidsfrist er tæt ved at være overskredet, eller at noget snart er uigenkaldeligt forbi
59000410	få skovlen under	besejre eller få overtaget over
59006690	en dans på roser	en let og sorgløs tilværelse, aktivitet, opgave eller lignende
59006559	arbejde så blodet springer fra neglene	(arbejde) hårdt og intensivt
59000335	være i lommen på	være helt afhængig af
59000990	grus i maskineriet	modgang, problemer, forhindringer eller lignende
59003621	ikke være helt fin i kanten	ikke være (helt) acceptabel moralsk set; ikke være (helt) til at stole på
59000992	hele dynen	alt det som er relevant i en bestemt sammenhæng
59007339	smage af fugl	ikke være helt identisk med noget bestemt (attraktivt), men dog ligne det lidt; være bedre end ingenting
59009336	have blod på hænderne	have blodige eller grusomme handlinger på samvittigheden
59000633	puste til gløderne	få en strid til at udvikle sig (igen)
59007328	have mange jern i ilden	være beskæftiget med mange ting samtidig
59004892	næsten ikke kunne få armene ned	være overordentlig glad pga. stor succes
59006049	ikke vide om man er købt eller solgt	ikke vide med sikkerhed hvordan man er stillet (økonomisk) eller vil blive behandlet i nær fremtid
59012808	de forhåndenværende søms princip	fremgangsmåde hvor man nøjes med de begrænsede midler der umiddelbart er til rådighed
59005015	når enden er god, er alting godt	en lykkelig slutning på et forløb overskygger de evt. negative sider der måtte have været undervejs
59001373	komme ud af røret	komme af sted efter lang tids nølen; langt om længe tage sig sammen
59000950	skulle have skolepengene tilbage	være dum eller uvidende om et bestemt forhold
59009885	skære ud i pap	forklare eller meddele på en meget grundig og letforståelig måde
59001285	gå hjem og vug	forsvind; gå hjem, for der er ikke brug for dig
59002042	krydse nogens vej	mødes med nogen undervejs
59004779	gå i brædderne	blive træt (og falde i søvn); miste energi
59003166	kronen på værket	(fremragende) fuldendelse af en opgave
59007047	være i stødet	være oplagt (til noget)
59005425	slippe katten ud af sækken	(komme til at) afsløre noget der var holdt hemmeligt
59006992	være højt på strå	være indflydelsesrig, rig eller heldig og evt. opføre sig overlegent
59012355	der er synk i nogen	nogen kan drikke meget, især alkohol
